date,seoul_avg,gangnam3_avg,non_gangnam_avg
2021-01-01,100820,183397,86518
2021-02-01,100698,185307,84626
2021-03-01,96183,178741,82838
2021-04-01,104802,193584,85878
2021-05-01,98004,178987,83271
2021-06-01,97926,183242,84938
2021-07-01,104235,194171,89527
2021-08-01,107283,190603,94020
2021-09-01,111900,198214,95445
2021-10-01,108383,201789,91120
2021-11-01,106865,210345,85221
2021-12-01,106743,192819,87401
2022-01-01,96062,197349,77987
2022-02-01,94439,185054,75328
2022-03-01,98149,173164,79757
2022-04-01,114625,226760,90248
2022-05-01,107044,216926,85128
2022-06-01,106754,217107,83846
2022-07-01,104414,208986,79662
2022-08-01,83036,133850,69632
2022-09-01,88028,189517,71922
2022-10-01,84122,169445,67735
2022-11-01,89383,180094,68153
2022-12-01,89550,179252,68333
2023-01-01,98025,175639,77848
2026-02-01,111077,231785,97766
2026-03-01,99017,198330,89432
2026-04-01,102785,298818,87706
