연,월,전체세대,1인세대,2인세대,3인세대,4인이상세대
2021,12,4426007,1906690,978393,750762,790162
2022,1,4430541,1912938,979236,750842,787525
2022,2,4442586,1926211,981260,751191,783924
2022,3,4451444,1936401,983457,751215,780371
2022,4,4455106,1942348,984417,750874,777467
2022,5,4460604,1949213,986480,750614,774297
2022,6,4464840,1954624,987846,750212,772158
2022,7,4469392,1960852,988300,750104,770136
2022,8,4472975,1966825,988641,750136,767373
2022,9,4450525,1951031,986747,748527,764220
2022,10,4450389,1953380,986743,747660,762606
2022,11,4448660,1953164,987222,747015,761259
2022,12,4446296,1952606,987812,746253,759625
2023,1,4447861,1955415,988204,746226,758016
2023,2,4457982,1966440,989801,746697,755044
2023,3,4463385,1972663,991063,746986,752673
2023,4,4465391,1975826,991884,746874,750807
2023,5,4467999,1979457,993193,746974,748375
2023,6,4469158,1981674,994304,746928,746252
2023,7,4471174,1984710,995049,746982,744433
2023,8,4473734,1987252,996834,747220,742428
2023,9,4475726,1989926,997634,747320,740846
2023,10,4472603,1988121,997838,747166,739478
2023,11,4469374,1986944,997734,746880,737816
2023,12,4469417,1988235,998390,746450,736342
2024,1,4471017,1989819,999525,746786,734887
2024,2,4480607,1999999,1001422,747237,731949
2024,3,4485819,2006402,1002533,747582,729302
2024,4,4486137,2008104,1003480,747406,727147
2024,5,4486224,2009509,1004306,747485,724924
2024,6,4486014,2010450,1005159,747299,723106
2024,7,4486857,2012549,1006551,746734,721023
2024,8,4487525,2014098,1007694,746771,718962
2024,9,4487671,2015072,1008611,746903,717085
2024,10,4484218,2012677,1008999,746894,715648
2024,11,4481533,2011430,1009260,746743,714100
2024,12,4482063,2012137,1010838,746493,712595
2025,1,4482949,2012731,1011646,747067,711505
2025,2,4492425,2021780,1014041,747771,708833
2025,3,4497896,2026982,1015862,748352,706700
2025,4,4498689,2028044,1017219,748707,704719
2025,5,4498871,2027536,1019622,749240,702473
2025,6,4501234,2029677,1021720,749599,700238
2025,7,4502552,2029756,1024655,749921,698220
2025,8,4504347,2030749,1026813,750806,695979
2025,9,4505357,2031598,1028698,751100,693961
2025,10,4503798,2030356,1029774,750982,692686
2025,11,4501136,2029018,1030405,750515,691198
2025,12,4501031,2029785,1031855,750246,689145
