date,SP500,KOSPI
2021-01-01,3714.24,2976.21
2021-02-01,3811.15,3012.95
2021-03-01,3972.89,3061.42
2021-04-01,4181.17,3147.86
2021-05-01,4204.11,3203.92
2021-06-01,4297.50,3296.68
2021-07-01,4395.26,3202.32
2021-08-01,4522.68,3199.27
2021-09-01,4307.54,3068.82
2021-10-01,4605.38,2970.68
2021-11-01,4567.00,2839.01
2021-12-01,4766.18,2977.65
2022-01-01,4515.55,2663.34
2022-02-01,4373.94,2699.18
2022-03-01,4530.41,2757.65
2022-04-01,4131.93,2695.05
2022-05-01,4132.15,2685.90
2022-06-01,3785.38,2332.64
2022-07-01,4130.29,2451.50
2022-08-01,3955.00,2472.05
2022-09-01,3585.62,2155.49
2022-10-01,3871.98,2293.61
2022-11-01,4080.11,2472.53
2022-12-01,3839.50,2236.40
2023-01-01,4076.60,2425.08
2023-02-01,3970.15,2412.85
2023-03-01,4109.31,2476.86
2023-04-01,4169.48,2501.53
2023-05-01,4179.83,2577.12
2023-06-01,4450.38,2564.28
2023-07-01,4588.96,2632.58
2023-08-01,4507.66,2556.27
2023-09-01,4288.05,2465.07
2023-10-01,4193.80,2277.99
2023-11-01,4567.80,2535.29
2023-12-01,4769.83,2655.28
2024-01-01,4845.65,2497.09
2024-02-01,5096.27,2642.36
2024-03-01,5254.35,2746.63
2024-04-01,5035.69,2692.06
2024-05-01,5277.51,2636.52
2024-06-01,5460.48,2797.82
2024-07-01,5522.30,2770.69
2024-08-01,5648.40,2674.31
2024-09-01,5762.48,2593.27
2024-10-01,5705.45,2556.15
2024-11-01,6032.38,2455.91
2024-12-01,5881.63,2399.49
2025-01-01,6040.53,2517.37
2025-02-01,5954.50,2532.78
2025-03-01,5611.85,2481.12
2025-04-01,5569.06,2556.61
2025-05-01,5911.69,2697.67
2025-06-01,6204.95,3071.70
2025-07-01,6339.39,3245.44
2025-08-01,6460.26,3186.01
2025-09-01,6688.46,3424.60
2025-10-01,6840.20,4107.50
2025-11-01,6849.09,3926.59
2025-12-01,6845.50,4214.17
2026-01-01,6939.03,5224.36
2026-02-01,6878.88,6244.13
2026-03-01,6528.52,5052.46
2026-04-01,6616.85,5808.36
